PLAYER,POS,TEAM,AGE,AVERAGE SALARY,TEAM AAV %,CASH EARNINGS,% OF TEAM PAYROLL,GTD EARNINGS,TEAM GTD %,CAP FIGURE,% OF TEAM CAP,Year
Stevenson Sylvester,ILB,PIT,23,443853,0,450000,0,-,-,488853,0,2011
Colin McCarthy,ILB,TEN,23,623850,0.01,830400,0.01,-,-,488850,0,2011
Brandon Underwood,CB,GB,25,463050,0,463236,0,-,-,488786,0,2011
Quinton Carter,S,DEN,23,623750,0.01,830000,0.01,-,-,488750,0,2011
David Arkin,G,DAL,23,644650,0.01,828600,0.01,-,-,488400,0,2011
Edmond Gates,WR,MIA,25,623287,0,828148,0.01,-,-,488287,0,2011
Clyde Gates,WR,MIA,25,634750,0.01,828130,0.01,-,-,488282,0,2011
Tony Carter,CB,NE,25,480000,0,488120,0,-,-,488120,0,2011
Greg Salas,WR,STL,23,622789,0.01,826154,0.01,-,-,487788,0,2011
Prescott Burgess,LB,BAL,27,600000,0,487500,0,-,-,487500,0,2011
Kenrick Ellis,DT,NYJ,23,655625,0,825000,0.01,-,-,487500,0,2011
Marshall Newhouse,RT,GB,22,695713,0.01,450000,0,-,-,487462,0,2011
Chimdi Chekwa,CB,OAK,22,621300,0,820200,0.01,-,-,486300,0,2011
Cecil Shorts,WR,JAC,23,668037,0.01,818380,0.01,-,-,485845,0,2011
Kendall Hunter,RB,SF,22,619750,0,814220,0.01,-,-,484805,0,2011
Casey Matthews,ILB,PHI,22,619966,0,809864,0.01,-,-,483716,0,2011
James Brewer,G,NYG,23,619273,0,807092,0.01,-,-,483023,0,2011
Jonathan Casillas,OLB,NO,24,397500,0,480000,0.01,-,-,482500,0,2011
Jalil Brown,CB,KC,23,632325,0,804300,0.01,-,-,482325,0,2011
Delone Carter,RB,IND,24,616301,0.01,800204,0.01,-,-,481301,0,2011
Jamaal Westerman,LB,NYJ,26,395667,0,480000,0,-,-,480667,0,2011
Jacob Lacey,CB,IND,24,391667,0,-,-,-,-,480333,0,2011
Alex Henery,K,PHI,24,622529,0,795108,0.01,-,-,480027,0,2011
Chris Prosinski,SS,JAC,24,660036,0.01,795108,0.01,-,-,480027,0,2011
C.J. Ah You,DE,STL,29,437500,0,-,-,-,-,480000,0,2011
Ryan Baker,DT,MIA,26,395000,0,-,-,-,-,480000,0,2011
Kahlil Bell,RB,CHI,24,480000,0,480000,0.01,-,-,480000,0,2011
Michael Bennett,DE,TB,25,480000,0.01,480000,0.01,-,-,480000,0,2011
Richie Brockel,TE,CAR,25,480000,0,480000,0,-,-,480000,0,2011
Everette Brown,OLB,SD,24,1075000,0.01,-,-,-,-,480000,0,2011
George Bussey,T,NE,26,475458,0,-,-,-,-,480000,0,2011
Chase Coffman,TE,CIN,24,480000,0,480000,0,-,-,480000,0,2011
Chase Daniel,QB,NO,24,395000,0,480000,0.01,-,-,480000,0,2011
James Davis,RB,WAS,25,480000,0,-,-,-,-,480000,0,2011
Kyle DeVan,G,IND,26,480000,0,-,-,-,-,480000,0,2011
Antonio Dixon,DT,PHI,26,396667,0,-,-,-,-,480000,0,2011
Jarron Gilbert,DE,NYJ,24,274853,0,480000,0,-,-,480000,0,2011
John Gill,DT,IND,24,370000,0,-,-,-,-,480000,0,2011
Nick Hayden,DT,CAR,25,480000,0,480000,0,-,-,480000,0,2011
Corey Hilliard,RT,DET,26,480000,0,480000,0,-,-,480000,0,2011
Nate Hughes,WR,DET,26,480000,0,-,-,-,-,480000,0,2011
Jeremy Jarmon,DT,DEN,23,597309,0.01,-,-,-,-,480000,0,2011
Bruce Johnson,CB,NYG,23,480000,0,-,-,-,-,480000,0,2011
Reshard Langford,CB,KC,25,480000,0,-,-,-,-,480000,0,2011
Nick Miller,WR,OAK,24,480000,0,-,-,-,-,480000,0,2011
Matthew Mulligan,TE,NYJ,26,393333,0,480000,0,-,-,480000,0,2011
Lydon Murtha,T,MIA,25,408500,0,-,-,-,-,480000,0,2011
Slade Norris,LB,JAC,25,480000,0,-,-,-,-,480000,0,2011
Keith Null,QB,CAR,25,480000,0,-,-,-,-,480000,0,2011
Kevin Ogletree,WR,DAL,24,480000,0,480000,0,-,-,480000,0,2011
Bear Pascoe,TE,NYG,25,464138,0,480000,0,-,-,480000,0,2011
Richard Quinn,TE,WAS,24,670000,0.01,-,-,-,-,480000,0,2011
Garrison Sanborn,LS,BUF,26,480000,0,480000,0,-,-,480000,0,2011
Tyrell Sutton,RB,CAR,24,480000,0,-,-,-,-,480000,0,2011
Michael Toudouze,T,IND,28,480000,0,-,-,-,-,480000,0,2011
Kraig Urbik,G,BUF,25,593333,0.01,480000,0,-,-,480000,0,2011
Vance Walker,DE,ATL,24,480000,0,480000,0,-,-,480000,0,2011
Edwin Williams,C,CHI,24,630000,0.01,-,-,-,-,480000,0,2011
Jason Williams,OLB,CAR,25,657500,0,480000,0,-,-,480000,0,2011
Matt Willis,WR,DEN,27,480000,0,-,-,-,-,480000,0,2011
Brian Witherspoon,CB,NYG,26,505000,0,-,-,-,-,480000,0,2011
Chris Hairston,LT,BUF,22,613977,0.01,790908,0.01,-,-,478977,0,2011
Rusty Smith,QB,TEN,24,476056,0,450000,0.01,-,-,478556,0,2011
Tandon Doss,WR,BAL,21,613140,0,787560,0.01,-,-,478140,0,2011
Owen Marecic,FB,CLE,22,612000,0.01,783000,0.01,-,-,477000,0,2011
Christian Ballard,DT,MIN,22,611888,0,842552,0.01,-,-,476888,0,2011
Richard Goodman,WR,SD,24,427500,0,-,-,-,-,476250,0,2011
Taiwan Jones,RB,OAK,23,611250,0,780000,0.01,-,-,476250,0,2011
Anthony McCoy,TE,SEA,23,511213,0,450000,0,-,-,476212,0,2011
Jonathan Dwyer,RB,PIT,22,432800,0,450000,0,-,-,475946,0,2011
Bilal Powell,RB,NYJ,22,610125,0,775500,0.01,-,-,475125,0,2011
Antonio Brown,WR,PIT,23,429358,0,450000,0,-,-,474358,0,2011
Joe Webb,QB,MIN,24,470629,0,450000,0,-,-,473128,0,2011
Cortez Allen,CB,PIT,22,607875,0,766500,0.01,-,-,472875,0,2011
Julius Thomas,TE,DEN,23,420750,0,759000,0.01,-,-,471000,0,2011
David Reed,WR,BAL,24,449633,0,423529,0,-,-,468162,0,2011
Willie Young,OLB,DET,25,421000,0,450000,0,-,-,466000,0,2011
J'Marcus Webb,RT,CHI,23,476403,0,450000,0,-,-,465153,0,2011
Joique Bell,RB,DET,25,502500,0,465000,0,-,-,465000,0,2011
Dan LeFevour,QB,JAC,24,1050000,0.01,-,-,-,-,465000,0,2011
Nathan Triplett,LB,SD,24,50250,0,-,-,-,-,465000,0,2011
Marc Mariani,WR,TEN,24,499850,0,450000,0.01,-,-,464850,0,2011
John Conner,FB,NYJ,24,497250,0,413120,0,-,-,462870,0,2011
Jim Dray,TE,ARI,24,497250,0,450000,0,-,-,462250,0,2011
Sean Lissemore,DT,DAL,23,459650,0,450000,0,-,-,462150,0,2011
Dexter Davis,DE,SEA,24,459399,0,450000,0,-,-,461898,0,2011
Kavell Conner,ILB,IND,24,496310,0,450000,0,-,-,461309,0,2011
Al Afalava,S,TEN,24,462650,0,-,-,-,-,460000,0,2011
Danario Alexander,WR,STL,23,493888,0,450000,0,-,-,458888,0,2011
Dominique Franks,CB,ATL,23,500263,0,405000,0,-,-,457762,0,2011
Duke Calhoun,WR,NYG,24,405000,0,-,-,-,-,456667,0,2011
Jeff Linkenbach,RT,IND,24,411667,0,-,-,-,-,456666,0,2011
Kevin Matthews,C,TEN,24,368750,0,450000,0.01,-,-,456250,0,2011
Darian Stewart,FS,STL,23,368750,0,450000,0,-,-,456250,0,2011
Stephen Williams,WR,ARI,25,368500,0,450000,0,-,-,456000,0,2011
Max Hall,QB,ARI,25,365000,0,452500,0,-,-,455000,0,2011
Barry Church,SS,DAL,23,409000,0,450000,0,-,-,454000,0,2011
Kellen Heard,DE,BUF,25,405000,0,-,-,-,-,453334,0,2011
Dane Fletcher,ILB,NE,24,408333,0,450000,0,-,-,453333,0,2011
Logan Paulsen,TE,WAS,24,408333,0,450000,0,-,-,453333,0,2011
Cassius Vaughn,CB,DEN,23,408333,0,450000,0,-,-,453333,0,2011
Vincent Rey,ILB,CIN,23,365500,0,450000,0,-,-,453000,0,2011
Nolan Carroll,CB,MIA,24,496875,0,405000,0,-,-,452937,0,2011
Mitch Petrus,G,NYG,24,495290,0,405000,0,-,-,452790,0,2011
Kyle Love,DT,NE,24,365000,0,450000,0,-,-,452500,0,2011
Sam Shields,CB,GB,23,407500,0,450000,0,-,-,452500,0,2011
Chris Ivory,RB,NO,23,406667,0,450000,0,-,-,451667,0,2011
Danny McCray,SS,DAL,23,406667,0,450000,0,-,-,451666,0,2011
Issac Redman,RB,PIT,26,395667,0,450000,0,-,-,450668,0,2011
Jamie Harper,RB,TEN,21,585145,0.01,675580,0.01,-,-,450145,0,2011
Davon House,CB,GB,22,585145,0,675580,0.01,-,-,450145,0,2011
Jonathon Amaya,S,NO,22,408333,0,450000,0,-,-,450000,0,2011
Colt Anderson,SS,PHI,25,405000,0,450000,0,-,-,450000,0,2011
Anthony Armstrong,WR,WAS,28,405000,0,-,-,-,-,450000,0,2011
Terrence Austin,WR,WAS,23,443667,0,450000,0,-,-,450000,0,2011
Lance Ball,RB,DEN,26,403900,0,450000,0,-,-,450000,0,2011
Brandon Banks,WR,WAS,23,405000,0,-,-,-,-,450000,0,2011
LeGarrette Blount,RB,TB,24,362500,0,450000,0.01,-,-,450000,0,2011
Tom Brandstater,QB,STL,26,468393,0,-,-,-,-,450000,0,2011
Curtis Brinkley,RB,SD,25,472500,0,-,-,-,-,450000,0,2011
Tramaine Brock,CB,SF,23,362750,0,450000,0,-,-,450000,0,2011
Patrick Brown,G,MIN,24,405000,0,450000,0,-,-,450000,0,2011
Andre Brown,RB,NYG,24,450000,0,450000,0,-,-,450000,0,2011
Colin Brown,G,BAL,26,446000,0,450000,0,-,-,450000,0,2011
Crezdon Butler,CB,ARI,24,444667,0,450000,0,-,-,450000,0,2011
Erik Cook,C,WAS,24,436667,0,450000,0,-,-,450000,0,2011
Emanuel Cook,CB,BAL,23,405000,0,450000,0,-,-,450000,0,2011
Morgan Cox,LS,BAL,25,450000,0,450000,0,-,-,450000,0,2011
Tom Crabtree,TE,GB,25,405000,0,450000,0,-,-,450000,0,2011
Dominique Curry,WR,STL,23,362500,0,450000,0,-,-,450000,0,2011
Marcus Dixon,DE,NYJ,26,436667,0,450000,0,-,-,450000,0,2011
Demar Dotson,RT,TB,25,450000,0,450000,0.01,-,-,450000,0,2011
Rob Francois,ILB,GB,26,375000,0,450000,0,-,-,450000,0,2011
Josh Gordy,CB,STL,24,406000,0,450000,0,-,-,450000,0,2011
Marshay Green,CB,ARI,25,450000,0,-,-,-,-,450000,0,2011
Cory Greenwood,OLB,KC,26,450000,0,450000,0,-,-,450000,0,2011
Chad Hall,WR,PHI,25,450000,0,-,-,-,-,450000,0,2011
Graham Harrell,QB,GB,26,540000,0,-,-,-,-,450000,0,2011
Jeremy Horne,WR,KC,24,495000,0,-,-,-,-,450000,0,2011
Corvey Irvin,DT,JAC,26,495000,0,450000,0,-,-,450000,0,2011
Robert Johnson,S,TEN,24,540000,0,-,-,-,-,450000,0,2011
Brandon King,CB,IND,24,405000,0,-,-,-,-,450000,0,2011
Matt Kroul,C,NYJ,0,450000,0,-,-,-,-,450000,0,2011
Ellis Lankster,CB,NYJ,24,450000,0,450000,0,-,-,450000,0,2011
Joey LaRocque,LB,NYJ,25,450000,0,-,-,-,-,450000,0,2011
Steve Maneri,TE,HOU,23,462500,0,450000,0,-,-,450000,0,2011
Jeron Mastrud,TE,MIA,23,385000,0,450000,0,-,-,450000,0,2011
Josh Mauga,ILB,NYJ,24,405000,0,450000,0,-,-,450000,0,2011
Taylor Mays,SS,CIN,23,1015000,0.01,450000,0,-,-,450000,0,2011
Bryan McCann,CB,OAK,23,405000,0,450000,0,-,-,450000,0,2011
Nevin McCaskill,T,WAS,27,502500,0,-,-,-,-,450000,0,2011
Clinton McDonald,DT,SEA,24,320000,0,450000,0,-,-,450000,0,2011
Steve McLendon,DT,PIT,25,362500,0,450000,0,-,-,450000,0,2011
Jeromy Miles,SS,CIN,24,405000,0,450000,0,-,-,450000,0,2011
Kyle Moore,DE,BUF,24,532500,0,-,-,-,-,450000,0,2011
Jordan Norwood,WR,CLE,24,362500,0,450000,0.01,-,-,450000,0,2011
Zach Potter,TE,JAC,25,450000,0,450000,0,-,-,450000,0,2011
Taylor Price,WR,JAC,23,661145,0.01,450000,0,-,-,450000,0,2011
Tanner Purdum,LS,NYJ,27,405000,0,450000,0,-,-,450000,0,2011
Marcel Reece,FB,OAK,26,450000,0,450000,0,-,-,450000,0,2011
George Selvie,DE,CAR,24,461489,0,450000,0,-,-,450000,0,2011
Andrew Sendejo,SS,MIN,23,495000,0,450000,0,-,-,450000,0,2011
Malcolm Sheppard,DT,TEN,23,385000,0,-,-,-,-,450000,0,2011
Austin Spitler,ILB,MIA,24,456619,0,450000,0,-,-,450000,0,2011
Nick Sundberg,LS,WAS,24,405000,0,450000,0,-,-,450000,0,2011
Jon Weeks,LS,HOU,25,362500,0,450000,0,-,-,450000,0,2011
Thomas Welch,RT,PHI,24,540000,0,450000,0,-,-,450000,0,2011
Blair White,WR,IND,24,409000,0,450000,0,-,-,450000,0,2011
E.J. Wilson,DE,TB,23,470000,0.01,-,-,-,-,450000,0,2011
Mike Windt,LS,SD,25,385000,0,450000,0,-,-,450000,0,2011
Al Woods,DT,SEA,24,540000,0.01,450000,0,-,-,450000,0,2011
Darrel Young,FB,WAS,24,405000,0,450000,0,-,-,450000,0,2011
Matt Tennant,G,NO,24,491625,0,405000,0,-,-,449125,0,2011
Riley Cooper,WR,PHI,23,527870,0,405000,0,-,-,447871,0,2011
Shann Schillinger,S,ATL,25,516279,0,405000,0,-,-,436280,0,2011
Anthony Dixon,RB,SF,23,515150,0,405000,0,-,-,435150,0,2011
Greg Hardy,DE,CAR,23,693946,0,405000,0,-,-,433946,0,2011
Brandon Deaderick,DT,NE,24,457575,0,423530,0,-,-,433605,0,2011
Carlton Mitchell,WR,CLE,23,475750,0,405000,0.01,-,-,433362,0,2011
Arthur Moats,OLB,BUF,23,618750,0.01,405000,0,-,-,433000,0,2011
Deji Karim,RB,JAC,24,498750,0,405000,0,-,-,432500,0,2011
Nate Byham,TE,SF,23,474000,0,405000,0,-,-,431550,0,2011
Eugene Sims,DE,STL,25,473466,0,405000,0,-,-,430825,0,2011
Travis Goethel,LB,OAK,24,473250,0,405000,0,-,-,430787,0,2011
Dan Batten,DE,BUF,23,472917,0,405000,0,-,-,430417,0,2011
James Starks,RB,GB,25,510075,0,405000,0,-,-,430075,0,2011
Ramon Harewood,G,BAL,24,429724,0,405000,0,-,-,429723,0,2011
Kealoha Pilares,WR,CAR,23,563878,0,590512,0,-,-,428878,0,2011
David Gettis,WR,CAR,24,496012,0,405000,0,-,-,428512,0,2011
Johnny White,RB,BUF,23,563400,0.01,588600,0,-,-,428400,0,2011
Robert Sands,S,CIN,21,562500,0.01,587000,0.01,-,-,428000,0,2011
Ricky Stanzi,QB,KC,23,571513,0,586052,0,-,-,427763,0,2011
Greg Jones,ILB,NYG,22,560066,0,582576,0.01,-,-,426894,0,2011
Anthony Sherman,FB,ARI,22,561725,0,581900,0,-,-,426725,0,2011
Jordan Pugh,S,CAR,23,468319,0,405000,0,-,-,425818,0,2011
Buster Skrine,CB,CLE,22,560500,0.01,577000,0.01,-,-,425500,0,2011
Marcus Cannon,RT,NE,23,584547,0,575500,0.01,-,-,425125,0,2011
Kyle Williams,WR,SF,23,467338,0,405000,0,-,-,424850,0,2011
Gabe Miller,TE,KC,23,559625,0,573500,0,-,-,424625,0,2011
John Phillips,TE,DAL,24,457000,0,405000,0,-,-,424562,0,2011
D.J. Williams,TE,GB,22,559500,0,573000,0.01,-,-,424500,0,2011
Karl Klug,DT,TEN,23,558613,0,569452,0.01,-,-,423613,0,2011
Danny Gorrer,CB,BAL,25,450000,0,423529,0,-,-,423529,0,2011
Dejon Gomes,S,WAS,21,557825,0,566300,0,-,-,422825,0,2011
Jacquizz Rodgers,RB,ATL,21,557750,0,566000,0,-,-,422750,0,2011
Denarius Moore,WR,OAK,22,557513,0,565052,0,-,-,422513,0,2011
Dion Lewis,RB,PHI,20,557220,0,563880,0.01,-,-,422220,0,2011
Jason Pinkston,G,CLE,23,570000,0.01,563000,0.01,-,-,422000,0,2011
Cody Grimm,S,TB,24,464375,0,405000,0.01,-,-,421875,0,2011
T.J. Yates,QB,HOU,24,556250,0,560000,0,-,-,421250,0,2011
Jeremy Kerley,WR,NYJ,22,556063,0,559250,0,-,-,421062,0,2011
Richard Sherman,CB,SEA,23,555606,0.01,557424,0.01,-,-,420606,0,2011
Dekoda Watson,OLB,TB,23,500455,0.01,405000,0.01,-,-,420455,0,2011
Niles Paul,TE,WAS,22,555413,0,556652,0,-,-,420413,0,2011
Jamar Chaney,ILB,PHI,24,462563,0,405000,0,-,-,420064,0,2011
Douglas Hogue,OLB,DET,22,554527,0,553108,0.01,-,-,419527,0,2011
Syd'Quan Thompson,CB,DEN,24,461713,0,-,-,-,-,419212,0,2011
C.J. Wilson,DT,GB,24,475089,0,405000,0,-,-,417590,0,2011
Brandon Burton,CB,MIN,22,552250,0,574000,0.01,-,-,417250,0,2011
Nathan Enderle,QB,CHI,23,552215,0,543860,0.01,-,-,417215,0,2011
Josh Brent,DT,DAL,23,496888,0,-,-,-,-,416889,0,2011
Julian Vandervelde,C,PHI,23,551200,0,539800,0.01,-,-,416200,0,2011
Kurt Coleman,FS,PHI,23,613342,0,405000,0,-,-,415842,0,2011
Chris Carter,ILB,PIT,22,550700,0,537800,0,-,-,415700,0,2011
Daniel Kilgore,C,SF,23,550075,0,535300,0.01,-,-,415075,0,2011
Sergio Brown,FS,NE,23,485000,0,405000,0,-,-,414711,0,2011
Kerry Meier,WR,ATL,24,444251,0,375000,0,-,-,414251,0,2011
Terrelle Pryor,WR,OAK,22,686517,0,850791,0.01,-,-,411222,0,2011
Chykie Brown,CB,BAL,24,546140,0,519560,0,-,-,411140,0,2011
Pernell McPhee,OLB,BAL,22,546140,0,519560,0,-,-,411140,0,2011
A.J. Jefferson,CB,ARI,23,367500,0,-,-,-,-,410000,0,2011
Brandon Lang,LB,SD,25,367500,0,405000,0,-,-,410000,0,2011
Phil Costa,C,DAL,24,409000,0,405000,0,-,-,409000,0,2011
David Nelson,WR,BUF,24,405000,0,405000,0,-,-,409000,0,2011
Donald Jones,WR,BUF,23,408333,0,-,-,-,-,408334,0,2011
Cordaro Howard,G,BUF,24,405000,0,405000,0,-,-,407834,0,2011
Junior Galette,OLB,NO,23,406667,0,405000,0,-,-,406667,0,2011
Max Komar,WR,CHI,24,364000,0,-,-,-,-,406500,0,2011
Ryan Whalen,WR,CIN,22,541279,0,500114,0,-,-,406278,0,2011
Frank Zombo,OLB,GB,24,406167,0,405000,0,-,-,406166,0,2011
Jeff Cumberland,TE,NYJ,24,405667,0,405000,0,-,-,405667,0,2011
Ben Garland,G,DEN,23,405667,0,405000,0,-,-,405666,0,2011
Bryan Walters,WR,SD,23,362750,0,405000,0,-,-,405250,0,2011
Chris White,ILB,BUF,22,540150,0,495600,0,-,-,405150,0,2011
Seyi Ajirotutu,WR,SD,24,405000,0,405000,0,-,-,405000,0,2011
Larry Asante,SS,TB,23,489715,0.01,-,-,-,-,405000,0,2011
Jake Ballard,TE,NYG,23,405000,0,405000,0,-,-,405000,0,2011
Dezmon Briscoe,WR,TB,22,473125,0.01,405000,0.01,-,-,405000,0,2011
David Caldwell,S,IND,24,405000,0,-,-,-,-,405000,0,2011
Mike Caussin,TE,BUF,24,472500,0,405000,0,-,-,405000,0,2011
Chris Clark,LT,DEN,25,362500,0,405000,0,-,-,405000,0,2011
Antonio Coleman,DE,ARI,24,405000,0,405000,0,-,-,405000,0,2011
Britton Colquitt,P,DEN,26,345000,0,405000,0,-,-,405000,0,2011
Victor Cruz,WR,NYG,24,405000,0,405000,0,-,-,405000,0,2011
Justin Drescher,LS,NO,23,405000,0,405000,0,-,-,405000,0,2011
Ryan Durand,G,TEN,25,362500,0,-,-,-,-,405000,0,2011
Dedrick Epps,TE,MIA,23,405000,0,-,-,-,-,405000,0,2011
Ray Feinga,G,MIA,25,405000,0,-,-,-,-,405000,0,2011
Clifton Geathers,DE,DAL,23,405000,0,-,-,-,-,405000,0,2011
Clint Gresham,LS,SEA,25,407667,0,405000,0,-,-,405000,0,2011
Chris Gronkowski,RB,IND,24,405000,0,-,-,-,-,405000,0,2011
Dan Gronkowski,TE,DEN,26,405000,0,-,-,-,-,405000,0,2011
Derek Hardman,RT,TB,24,447500,0,-,-,-,-,405000,0,2011
Brandon Hughes,CB,PHI,25,405000,0,405000,0,-,-,405000,0,2011
Manuel Johnson,WR,DAL,24,362500,0,-,-,-,-,405000,0,2011
Matt Kopa,G,MIA,24,405000,0,-,-,-,-,405000,0,2011
Ted Larsen,G,TB,24,678400,0.01,405000,0.01,-,-,405000,0,2011
Bret Lockett,S,NE,24,405000,0,-,-,-,-,405000,0,2011
Erik Lorig,FB,TB,24,577500,0.01,405000,0.01,-,-,405000,0,2011
Robert Malone,P,TB,23,447500,0,-,-,-,-,405000,0,2011
Tim Masthay,P,GB,24,405000,0,405000,0,-,-,405000,0,2011
Andre Neblett,DT,CAR,23,405000,0,-,-,-,-,405000,0,2011
Nate Ness,FS,MIA,24,405000,0,-,-,-,-,405000,0,2011
Fendi Onobun,TE,BUF,24,479750,0,405000,0,-,-,405000,0,2011
Michael Palmer,TE,ATL,23,362500,0,405000,0,-,-,405000,0,2011
Preston Parker,WR,TB,24,362500,0,405000,0.01,-,-,405000,0,2011
Naaman Roosevelt,WR,BUF,23,472500,0,-,-,-,-,405000,0,2011
Nick Schommer,S,TEN,25,405000,0,-,-,-,-,405000,0,2011
Mickey Shuler,TE,MIN,24,472500,0,405000,0,-,-,405000,0,2011
Antone Smith,RB,ATL,25,362500,0,405000,0,-,-,405000,0,2011
R.J. Stanford,CB,CAR,23,405000,0,405000,0,-,-,405000,0,2011
Ronald Talley,DE,ARI,25,405000,0,405000,0,-,-,405000,0,2011
Keith Toston,RB,STL,24,405000,0,-,-,-,-,405000,0,2011
Will Tukuafu,FB,SF,27,362500,0,405000,0,-,-,405000,0,2011
Roberto Wallace,WR,MIA,25,405000,0,-,-,-,-,405000,0,2011
Keiland Williams,RB,DET,25,405000,0,-,-,-,-,405000,0,2011
Kion Wilson,ILB,CAR,24,510000,0,405000,0,-,-,405000,0,2011
Quan Sturdivant,ILB,ARI,22,538947,0,-,-,-,-,403947,0,2011
Byron Maxwell,CB,SEA,23,538363,0.01,488452,0.01,-,-,403363,0,2011
Charles Clay,TE,MIA,22,538000,0,487000,0,-,-,403000,0,2011
Byron Stingily,RT,TEN,22,537625,0,485500,0.01,-,-,402625,0,2011
Zach Clayton,DT,TEN,23,537500,0,485000,0.01,-,-,402500,0,2011
Derek Landri,DT,PHI,27,523824,0,-,-,-,-,401741,0,2011
Caleb Schlauderaff,C,NYJ,23,510000,0,375000,0,-,-,401450,0,2011
Tyrod Taylor,QB,BAL,22,536327,0,480308,0,-,-,401327,0,2011
Richard Gordon,TE,OAK,24,536213,0,479852,0,-,-,401213,0,2011
David Carter,DT,ARI,23,535966,0,478864,0,-,-,400966,0,2011
D.J. Smith,ILB,GB,22,535788,0,478152,0,-,-,400788,0,2011
DeMarcus Love,LT,MIN,23,540775,0,478100,0,-,-,400775,0,2011
Chris Rucker,CB,IND,22,535418,0,476672,0,-,-,400418,0,2011
Tom Johnson,DT,NO,27,465000,0,450000,0,-,-,400000,0,2011
Mistral Raymond,S,MIN,23,539483,0,472932,0,-,-,399483,0,2011
Jason Kelce,C,PHI,23,534358,0,472432,0,-,-,399385,0,2011
Brian Rolle,ILB,PHI,22,534150,0,471600,0,-,-,399150,0,2011
Matt Bosher,P,ATL,23,533950,0,470800,0,-,-,398950,0,2011
Brandon Fusco,G,MIN,23,538556,0,469224,0,-,-,398556,0,2011
J.T. Thomas,OLB,CHI,23,495629,0,467516,0,-,-,398129,0,2011
Martin Parker,DT,NYG,23,440500,0,-,-,-,-,395000,0,2011
Tyler Sash,S,NYG,23,592694,0,454040,0,-,-,394760,0,2011
Jerrell Powe,DT,KC,24,535920,0,453680,0,-,-,394670,0,2011
Jacquian Williams,OLB,NYG,23,529670,0,453680,0,-,-,394670,0,2011
Zachary Williams,G,CAR,22,469670,0,453680,0,-,-,394670,0,2011
Justin Rogers,CB,BUF,23,526875,0,442500,0,-,-,391875,0,2011
Greg McElroy,QB,NYJ,23,526288,0,440152,0,-,-,391288,0,2011
Virgil Green,TE,DEN,23,526236,0.01,439944,0,-,-,391236,0,2011
Johnny Culbreath,T,DET,23,550000,0,438800,0,-,-,390950,0,2011
Bruce Miller,FB,SF,24,525613,0,437452,0,-,-,390613,0,2011
Derek Newton,RT,HOU,23,525064,0,435256,0,-,-,390064,0,2011
Max Komar,WR,CHI,24,490000,0,-,-,-,-,390000,0,2011
Mikail Baker,CB,STL,24,524874,0,59492,0,-,-,389873,0,2011
Ryan Taylor,TE,GB,23,524794,0,434176,0,-,-,389794,0,2011
Da'Rel Scott,RB,NYG,23,523988,0,-,-,-,-,388988,0,2011
Anthony Gaitor,CB,TB,22,523404,0.01,428616,0.01,-,-,388404,0,2011
Mike Cox,FB,ATL,26,1200000,0.01,388235,0,-,-,388235,0,2011
Markus White,DE,WAS,23,522721,0,425884,0,-,-,387721,0,2011
Anthony Allen,RB,BAL,23,522750,0,425500,0,-,-,387625,0,2011
D'Aundre Reed,DE,MIN,23,522563,0,425252,0,-,-,387563,0,2011
Greg Romeus,DE,NO,23,522456,0,424824,0,-,-,387456,0,2011
Cliff Matthews,DE,ATL,22,521750,0,422000,0,-,-,386750,0,2011
Baron Batch,RB,PIT,23,521628,0,421512,0,-,-,386628,0,2011
David Ausberry,TE,OAK,23,521475,0,420900,0,-,-,386475,0,2011
Nathan Bussey,LB,NO,22,521475,0,420900,0,-,-,386475,0,2011
Andrew Gachkar,OLB,SD,22,521475,0,420900,0,-,-,386475,0,2011
Curtis Holcomb,CB,SF,22,521475,0,420900,0,-,-,386475,0,2011
Bill Nagy,G,DAL,23,502725,0,420900,0,-,-,386475,0,2011
Chris Neild,DT,WAS,23,521475,0,420900,0,-,-,386475,0,2011
Michael Person,G,SF,23,521475,0,420900,0,-,-,386475,0,2011
Demarco Sampson,WR,ARI,25,521475,0,420900,0,-,-,386475,0,2011
Malcolm Smith,OLB,SEA,22,521475,0.01,420900,0,-,-,386475,0,2011
Jimmy Wilson,SS,MIA,25,521475,0,420900,0,-,-,386475,0,2011
Tommie Campbell,CB,TEN,23,521474,0,420896,0.01,-,-,386474,0,2011
Eric Hagg,S,CLE,21,520100,0.01,415400,0.01,-,-,385100,0,2011
Josh Hull,ILB,STL,24,456388,0,375000,0,-,-,383888,0,2011
Doug Baldwin,WR,SEA,22,470833,0,392500,0,-,-,380833,0,2011
Chas Henry,P,PHI,22,471000,0,-,-,-,-,380833,0,2011
Alfonso Smith,RB,ARI,24,380000,0,380000,0,-,-,380000,0,2011
John Estes,C,JAC,24,410000,0,375000,0,-,-,380000,0,2011
Mark Herzlich,OLB,NYG,24,470000,0,390000,0,-,-,380000,0,2011
Henry Hynoski,FB,NYG,22,470000,0,390000,0,-,-,380000,0,2011
Jeron Johnson,SS,SEA,23,470000,0,390000,0,-,-,380000,0,2011
Garrett McIntyre,OLB,NYJ,26,470000,0,390000,0,-,-,380000,0,2011
Willie Smith,LT,WAS,24,470000,0,390000,0,-,-,380000,0,2011
Quinton Spears,OLB,CLE,23,456333,0,390000,0,-,-,380000,0,2011
