PLAYER,POS,TEAM,AGE,AVERAGE SALARY,TEAM AAV %,CASH EARNINGS,% OF TEAM PAYROLL,GTD EARNINGS,TEAM GTD %,CAP FIGURE,% OF TEAM CAP,Year
Nate Clements,CB,SF,30,10000000,0.08,-,-,-,-,8166667,-,2010
Chris Hope,S,TEN,29,5097502,0.05,-,-,-,-,8000002,-,2010
David Garrard,QB,JAC,32,9914286,0.1,8000000,0.12,-,-,8000000,-,2010
Albert Haynesworth,DT,WAS,29,14285714,0.1,23752941,0.18,-,-,7952941,-,2010
Marion Barber,RB,DAL,27,6428571,0.05,-,-,-,-,7933000,-,2010
Sean Locklear,T,SEA,29,6399000,0.06,5500000,0.06,-,-,7900000,-,2010
Vernon Davis,TE,SF,26,7350000,0.06,13874000,0.13,-,-,7880666,-,2010
Eric Steinbach,G,CLE,30,7071429,0.08,-,-,-,-,7866667,-,2010
Dallas Clark,TE,IND,31,6960000,0.06,4350000,0.05,-,-,7823333,-,2010
Roddy White,WR,ATL,28,7120000,0.06,6600000,0.07,-,-,7800000,-,2010
Matt Schaub,QB,HOU,29,8000000,0.07,4550000,0.05,-,-,7800000,-,2010
Reggie Wayne,WR,IND,31,6583333,0.06,5470000,0.06,-,-,7793333,-,2010
Daniel Graham,TE,DEN,31,6000000,0.05,4500000,0.05,-,-,7750000,-,2010
Donald Driver,WR,GB,35,5736000,0.04,-,-,-,-,7600000,-,2010
Adrian Wilson,S,ARI,30,7300000,0.07,250000,0,-,-,7550000,-,2010
Bryant McKinnie,LT,MIN,30,6928571,0.05,4850000,0.06,-,-,7550000,-,2010
Julian Peterson,LB,DET,32,7714286,0.06,7500000,0.08,-,-,7500000,-,2010
Kerry Collins,QB,TEN,37,7500000,0.07,5500000,0.1,-,-,7500000,-,2010
Chad Clifton,T,GB,34,6526667,0.05,-,-,-,-,7500000,-,2010
Tommy Kelly,DT,OAK,29,7160714,0.05,4500000,0.04,-,-,7383266,-,2010
Lance Briggs,OLB,CHI,29,6000000,0.06,6695000,0.08,-,-,7361667,-,2010
Darren Sproles,RB,SD,27,7281300,0.06,7281300,0.09,-,-,7281300,-,2010
Kevin Kolb,QB,PHI,26,6403500,0.05,715000,0.01,-,-,7230625,-,2010
Lofa Tatupa,LB,SEA,27,7000000,0.06,5550000,0.06,-,-,7216666,-,2010
Jason Brown,G,STL,27,7500000,0.07,-,-,-,-,7200000,-,2010
Casey Hampton,DT,PIT,32,7100000,0.06,-,-,-,-,7166667,-,2010
Randy Moss,WR,NE,33,7105882,0.07,1605882,0.02,-,-,7105882,-,2010
London Fletcher,ILB,WAS,35,5000000,0.04,5000000,0.04,-,-,7100000,-,2010
Tramon Williams,CB,GB,27,8250000,0.06,15074000,0.16,-,-,7074000,-,2010
Marcus Trufant,CB,SEA,29,8366667,0.07,4200000,0.05,-,-,7033333,-,2010
Calvin Pace,OLB,NYJ,29,7000000,0.06,9900000,0.1,-,-,7013333,-,2010
